category,Value11,value21
taxi,122,234
motorcycle,588,307
carDriver,50738,44097
carPassenger,3910,3163
bicycle,2969,1940
foot,7930,6274
other,235,707
noWork,45395,99172
home,8857,34522
metro,355,256
train,11101,2911
bus,3326,2034
taxi,224,204
motorcycle,577,341
carDriver,47511,38282
carPassenger,3552,2574
bicycle,2486,1725
foot,8173,6231
other,289,783
noWork,37242,91661
home,6074,21711
metro,90,25
train,825,249
bus,3304,1717
taxi,101,118
motorcycle,418,235
carDriver,31175,22959
carPassenger,2786,1980
bicycle,3805,2372
foot,10390,7320
other,215,472
noWork,26907,59679
home,8567,27343
metro,90,41
train,2066,1027
bus,3611,1887
taxi,278,437
motorcycle,544,345
carDriver,44753,39508
carPassenger,3940,3353
bicycle,2553,2156
foot,8127,8135
other,300,737
noWork,28440,76044
home,23337,67827
metro,254,98
train,4971,1630
bus,3267,1328
taxi,504,931
motorcycle,1169,663
carDriver,116931,93442
carPassenger,8993,7454
bicycle,4666,3537
foot,16282,13950
other,762,1627
noWork,89817,206285
home,17178,53184
metro,257,90
train,3114,1291
bus,5477,2913
taxi,783,988
motorcycle,1001,669
carDriver,103898,85824
carPassenger,8767,6624
bicycle,4200,3399
foot,14669,12543
other,794,1562
noWork,83017,188062
home,3755,10772
metro,39,19
train,684,284
bus,3788,1962
taxi,349,614
motorcycle,358,204
carDriver,30089,26580
carPassenger,3164,2439
bicycle,515,455
foot,4996,3817
other,164,388
noWork,28508,56037
home,8724,19385
metro,140,48
train,2298,721
bus,1027,656
taxi,125,82
motorcycle,375,229
carDriver,30051,26020
carPassenger,2104,1765
bicycle,2171,1549
foot,5998,5282
other,272,629
noWork,27752,67702
home,5827,16580
metro,34,27
train,1261,479
bus,1575,889
taxi,135,188
motorcycle,375,182
carDriver,36378,31980
carPassenger,2941,2357
bicycle,761,634
foot,4227,3465
other,188,464
noWork,26249,60488
home,687,3602
metro,879,349
train,253,95
bus,263,132
taxi,40,21
motorcycle,22,13
carDriver,134,124
carPassenger,11,13
bicycle,243,191
foot,2174,758
other,41,54
noWork,1560,3232
home,8617,28165
metro,174,121
train,6424,2069
bus,4824,2706
taxi,260,437
motorcycle,683,456
carDriver,46907,43618
carPassenger,4123,3329
bicycle,3310,2274
foot,9898,8004
other,367,837
noWork,42975,100700
home,6743,11381
metro,37,28
train,545,291
bus,2130,1441
taxi,221,170
motorcycle,273,170
carDriver,31488,28296
carPassenger,2733,1971
bicycle,645,540
foot,4954,3895
other,324,543
noWork,31813,66018
home,2782,7778
metro,18,14
train,519,316
bus,1532,861
taxi,152,120
motorcycle,272,202
carDriver,20877,16849
carPassenger,3086,1573
bicycle,554,374
foot,2958,2218
other,141,266
noWork,19811,36506
home,38596,62832
metro,208,80
train,2320,1275
bus,5812,3410
taxi,667,686
motorcycle,2782,1925
carDriver,147102,142649
carPassenger,12480,10378
bicycle,3777,2988
foot,28952,25022
other,1831,3001
noWork,144331,316058
home,7995,17228
metro,146,40
train,617,157
bus,501,217
taxi,69,41
motorcycle,268,149
carDriver,24532,20099
carPassenger,1785,1377
bicycle,829,529
foot,4574,3838
other,213,404
noWork,18546,46753
home,20652,53014
metro,323,98
train,1865,730
bus,13732,7478
taxi,1401,1414
motorcycle,1038,585
carDriver,146644,127527
carPassenger,17362,11802
